GENE	Rhtseq	Ihtseq	Rcuff	Icuff	Rmlwl	Imlwl	Rgy	Igy	Ryn	Iyn	Rmyn	Imyn	Rma	Ima
17.5-1	53	6	7.62733	4.70252	1.81759	1.36054	2.0215	1.42811	2.26665	1.41447	1.96013	1.30808	2.09912	1.49979
A1CF-1	0	0	0.00165612	0.00190322	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA
A2LD1-1	212	164	0	0	1.09225	0.68781	1.52804	0.695719	1.44999	0.603986	1.30965	0.513536	1.52634	0.617285
A2M-1	0	0	0.0100118	0.00308462	NA	NA	NA	50	NA	NA	NA	NA	NA	50
A2ML1-1	0	0	0.46509	0.584516	3.5425	1.85559	4.808	1.97881	3.44651	1.79392	3.1522	1.8917	3.93216	1.9873
A2ML2-1	0	0	0.00153303	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
A2ML3-1	0	0	0.0128896	0.00211565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2ML4-1	0	0			0.506792	0.406209	0.798458	0.483522	0.585299	0.435027	0.590464	0.399388	0.800322	0.470091
A4GNT-1	0	0	0	0.0244357	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA
AAAS-1	109	87	14.3654	8.09902	0.325593	1.0283	0.536681	1.15486	0.462293	1.15231	0.462071	1.13586	0.540667	1.1486
AACS-1	3	0		5.00851	0.390484	0.697148	0.334908	0.699844	0.439405	0.777355	0.41312	0.728485	0.380097	0.702919
AADACL2-1	2	2			0.471551	0.666605	0.695135	0.718402	0.639509	0.61229	0.613998	0.584658	0.62266	0.692019
AADACL3-1	15	7	0.0727923	0.0440029	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan
AADACL4-1	0	2	0.158041	0.154956	NA	0.470155	50	1.00416	NA	0.692515	NA	0.69228	50	0.949045
AADAT-1	2	0	8.25565	4.54171	0.992929	0.799138	1.3001	0.899009	1.35789	1.01383	1.23187	0.907709	1.2774	0.804257
AAGAB-1	42	35	3.2607	4.14114	1.08028	3.08181	1.13737	3.37733	1.08685	3.20182	1.15474	3.44689	1.1174	3.39411
AAK1-1	41	19			NA	0.46932	50	1.1319	NA	0.693845	NA	0.693839	50	1.06635
AAMP-1	811	483	6.102	5.67981	NA	0.836383	6.75691	0.886104	NA	0.816131	NA	0.815465	39.4668	0.929578
AANAT-1	13	8	1.45328	0.819955	0.434629	0.21824	0.490625	0.272879	0.4798	0.303253	0.455461	0.302349	0.502943	0.281498
AARS-1	37	9	40.0722	49.5661	0.573308	1.15533	0.604823	1.33312	0.580189	1.12781	0.518726	0.990832	0.576861	0.984234
AARS2-1	235	171	1.51048	1.50738	1.32369	2.20579	1.69757	3.29056	1.34394	2.18891	1.21898	1.94984	1.54175	2.56487
AARSD1-1	34	4	18.3411	33.8981	0.268157	NA	50	50	NA	NA	NA	NA	50	50
AASDH-1	5	1	1.03215	0.976969	0.736494	1.26568	0.762102	1.31046	0.632894	1.14688	0.624694	1.16075	0.780446	1.16479
AASDHPPT-1	0	0	4.28369	4.60363	NA	0.886653	50	0.922214	NA	0.765676	NA	0.929085	49.6385	0.831921
AASS-1	11	4	18.0566	20.3715	0.898911	1.10712	1.16194	1.28812	1.13468	1.24195	1.08326	1.27915	1.16669	1.28042
