GENE	ROSS-htseq	ILLINOIS-htseq	ROSS-cuff	ILLINOIS-cuff	ROSS-mlwl	ILLINOIS-mlwl	ROSS-gy	ILLINOIS-gy	ROSS-yn	ILLINOIS-yn	ROSS-myn	ILLINOIS-myn	ROSS-ma	ILLINOIS-ma		AVG-ROSS	AVG-ILLINOIS	SD-ROSS	SD-ILLINOIS	0	#VALUE!	#VALUE!	NO	0
ACVR1-1	4	4	10.5083	11.2445	5.1207	0.757981	13.4423	0.830168	5.16304	0.690558	5.16506	0.687658	12.8442	0.861713		8.34706	0.7656156	4.383441714	0.079326919	1	1	1	YES	1
ADA-1	46	25	2.03058	2.19068	5.91105	0.32718	6.66852	0.348248	6.38907	0.373306	5.17252	0.373222	5.21871	0.32603		5.871974	0.3495972	0.674423919	0.023345248	1	1	1	YES	1
ADAMTS6-1	7	15	0.152498	0.332474	3.4594	0.757074	3.23022	0.816755	3.60265	0.864095	3.29041	0.991744	3.03569	0.728961		3.323674	0.8317258	0.2173845	0.10369572	1	1	1	YES	1
ADAMTS8-1	2	4	1.00703	2.97812	2.29209	0.642006	5.64946	0.893239	3.87127	0.844472	3.96845	0.837153	6.07405	0.893238		4.371064	0.8220216	1.522209136	0.10402198	1	1	1	YES	1
ADCY3-1	18	21	0.186693	0.190648	0.276582	3.93579	0.812685	4.45129	0.595962	4.03018	0.595606	4.32035	0.820379	4.81368		0.6202428	4.310258	0.221578301	0.350747613	1	1	1	YES	1
ADRB2-1	15	6	3.98367	4.92306	0.742427	4.13933	0.686383	3.9113	0.502438	2.87831	0.501899	2.87563	0.684953	3.91393		0.62362	3.5437	0.113266404	0.615637167	1	1	1	YES	1
AFAP1L2-1	34	20	3.07791	2.67878	0.524673	2.94753	0.494009	6.0574	0.561659	3.85371	0.508487	4.04757	0.434061	5.95		0.5045778	4.571242	0.046801925	1.372512697	1	1	1	YES	1
AFF2-1	8	2	1.16367	0.993315	0.487127	2.8989	0.474663	3.57851	0.470818	3.6849	0.413997	3.14247	0.439479	3.2713		0.4572168	3.315216	0.029860355	0.320577135	1	1	1	YES	1
AGAP3-1	1	2	4.06423	4.26303	2.08992	0.76144	6.74751	0.988852	4.17537	0.934416	4.29915	1.03096	7.62475	0.951659		4.98734	0.9334654	2.212581826	0.103074635	1	1	1	YES	1
AIG1-1	4	2	6.47317	3.88108	0.631802	2.23951	0.778745	4.03936	0.77268	3.75907	0.720338	3.92566	0.717219	3.81629		0.7241568	3.555978	0.059005292	0.743710231	1	1	1	YES	1
APP-1	35	23	46.7325	27.7776	1.93681	0.681843	3.68079	0.8231	3.65664	0.83959	3.59929	0.922271	3.64378	0.837745		3.303462	0.8209098	0.764555321	0.086963841	1	1	1	YES	1
ARHGEF4-1	6	5	2.73045	2.16127	2.75333	0.769481	3.37207	0.864849	3.12658	0.825077	3.15761	0.791842	3.31162	0.853229		3.144242	0.8208956	0.241466268	0.040256698	1	1	1	YES	1
ARL3-1	198	221	4.37516	3.59597	2.14652	0.690573	6.32455	0.78578	3.30125	0.791389	3.46097	0.778937	6.35527	0.785796		4.317712	0.766495	1.91443973	0.042670553	1	1	1	YES	1
ASXL1-1	3	2	0.869372	0.764534	2.12776	0.425482	5.23763	0.616006	4.91533	0.398009	4.9213	0.397538	5.32845	0.65197		4.506094	0.497801	1.342363313	0.125480728	1	1	1	YES	1
ATG14-1	75	80	3.02634	3.6504	3.06168	0.781426	5.04576	1.00202	5.44663	0.949405	4.91438	0.964358	4.98239	0.811083		4.690168	0.9016584	0.933584264	0.098670109	1	1	1	YES	1
BRD7-1	73	40	42.8	41.4952	4.1354	0.754694	4.40409	0.806873	3.92553	0.717037	3.65963	0.743509	4.98614	0.808075		4.222158	0.7660376	0.507129328	0.040224205	1	1	1	YES	1
C21ORF7-1	12	16	6.39871	6.07411	0.550256	3.45029	0.531356	4.02053	0.628883	3.87244	0.636869	3.60573	0.478997	3.74113		0.5652722	3.738024	0.067066461	0.222586784	1	1	1	YES	1
C2H8orf47-1	5	12	0.14638	0.61399	0.0934544	6.42734	0.0834109	8.26941	0.0845859	6.0924	0.0699317	6.60392	0.0798799	7.26045		0.08225256	6.930704	0.008510296	0.860782039	1	1	1	YES	1
CCDC84-1	2	4	1.43742	3.01998	0.255174	2.95376	0.511046	6.05162	0.374682	6.05511	0.374301	5.7514	0.486874	5.95116		0.4004154	5.35261	0.102656531	1.346653084	1	1	1	YES	1
CCNF-1	75	126	0.817445	1.12086	0.161241	4.66908	0.370945	4.78109	0.240159	4.54015	0.239736	4.24793	0.35907	4.19292		0.2742302	4.486234	0.088978649	0.257925161	1	1	1	YES	1
CCT7-1	7	2	36.9592	37.3867	0.328389	1.25691	0.349824	6.99999	0.367144	1.83524	0.367212	1.83632	0.320878	6.26482		0.3466894	3.638656	0.021508873	2.755392075	1	1	1	YES	1
CDC16-1	2	2	4.11158	3.29991	0.434875	2.94036	0.473404	5.73075	0.464566	4.23624	0.47633	4.46629	0.463758	6.48604		0.4625866	4.771936	0.016424982	1.377727943	1	1	1	YES	1
CDHR1-1	2	2	0.0229659	0.00264006	0.675795	0.113837	30.5208	0.201789	0.608766	0.144208	0.608319	0.141634	7.29007	0.191851		7.94075	0.1586638	12.94781977	0.03697837	1	1	1	YES	1
CENPT-1	5	8	1.23863	1.62981	0.0776847	3.57824	0.529594	4.68504	0.336257	3.71334	0.336202	3.07069	0.482563	3.86666		0.35246014	3.782794	0.17630341	0.586267783	1	1	1	YES	1
CISD1-1	39	10	82.5262	77.4856	3.01727	0.758923	3.6987	0.9878	4.1024	1.06268	3.67164	0.791114	3.45937	0.910769		3.589876	0.9022572	0.395638191	0.128474706	1	1	1	YES	1
CLCN3-1	47	45	5.69145	5.85885	0.836288	2.92907	0.991234	3.512	0.891229	3.5003	0.967237	3.31	0.974186	3.20628		0.9320348	3.29153	0.065865444	0.240404809	1	1	1	YES	1
CLK2-1	6	2	3.17025	3.6464	1.3667	0.33365	4.27452	0.800009	3.14272	0.588138	3.14303	0.587997	4.38423	0.807677		3.26224	0.6234942	1.215024722	0.194679577	1	1	1	YES	1
CNKSR3-1	5	4	3.85532	3.94372	0.570891	3.53912	0.711574	3.87992	0.562632	3.46849	0.619598	3.47923	0.662714	3.87849		0.6254818	3.64905	0.062775345	0.211818921	1	1	1	YES	1
CNOT4-1	3	5	20.0578	16.6511	3.11714	0.70683	3.86101	0.723585	4.04697	0.756671	4.22184	0.727057	4.08913	0.722216		3.867218	0.7272718	0.43873911	0.018175395	1	1	1	YES	1
CNST-1	4	1	3.0038	3.99484	2.68134	0.901575	3.14048	0.857286	3.31952	0.876973	3.21805	0.864158	3.00388	0.816535		3.072654	0.8633054	0.247254775	0.031127946	1	1	1	YES	1
COMP-1	101	121	32.7061	13.4807	3.0191	0.736816	3.23828	0.867234	3.09904	0.71283	2.71397	1.01721	3.125	0.717951		3.039078	0.8104082	0.197960729	0.13179701	1	1	1	YES	1
COTL1-1	16	13	35.0372	26.77	2.18766	0.679024	3.39186	0.737356	3.17079	0.767829	3.22074	0.778396	3.22846	0.715577		3.039902	0.7356364	0.483626672	0.040233839	1	1	1	YES	1
DAAM1-1	13	4	1.99758	2.00567	0.630003	2.41257	0.694725	4.50402	0.670232	4.31571	0.612583	3.56711	0.685767	3.33492		0.658662	3.626866	0.035755064	0.837738506	1	1	1	YES	1
DHX57-1	95	86	2.66831	2.63952	0.859233	4.45035	0.910201	4.93091	0.865	4.34812	0.801319	3.81713	0.895863	4.62227		0.8663232	4.433756	0.042057784	0.409431355	1	1	1	YES	1
DNAJA3-1	122	42	45.779	47.3781	4.69567	0.248573	5.0966	0.575135	4.60336	0.37312	4.59132	0.372747	4.55544	0.532589		4.708478	0.4204328	0.223046605	0.132815672	1	1	1	YES	1
DNAJC16-1	33	58	7.90222	9.96084	3.56221	0.474659	3.73911	0.713836	2.63449	0.604788	2.63252	0.599758	3.74075	0.717655		3.261816	0.6221392	0.578138232	0.100104899	1	1	1	YES	1
