GENE	ROSS-htseq	ILLINOIS-htseq	ROSS-cuff	ILLINOIS-cuff		ROSS-mlwl	ILLINOIS-mlwl	ROSS-gy	ILLINOIS-gy	ROSS-yn	ILLINOIS-yn	ROSS-myn	ILLINOIS-myn	ROSS-ma	ILLINOIS-ma		AVG-ROSS	AVG-ILLINOIS		Positive selection
AFF2-1	8	2	1.16367	0.993315		0.487127	2.8989	0.474663	3.57851	0.470818	3.6849	0.413997	3.14247	0.439479	3.2713		0.4572168	3.315216		illinois
AMOTL2-1	6	3	1.72269	1.56162		0.450085	2.60453	0.475829	2.88381	0.48263	2.68442	0.503139	2.64722	0.471177	2.77713		0.476572	2.719422		illinois
ATP13A2-1	0	0	2.65397	1.39323		0.144638	2.56446	0.266705	2.80467	0.203244	2.65184	0.202888	2.42456	0.26274	3.22298		0.216043	2.733702		illinois
B4GALNT4-1	11	2	0	0.213362		0.320544	1.07914	0.441598	6.05486	0.316324	1.60045	0.316156	1.60035	0.452192	3.4431		0.3693628	2.75558		illinois
BCAR1-1	21	2	2.91894	2.14208		0.39313	2.53023	0.474148	2.68261	0.504977	2.76292	0.505194	2.49052	0.483227	2.62867		0.4721352	2.61899		illinois
C2H10ORF140-1	71	69	0.218674	0.216629		0.269553	1.32831	0.506798	2.63044	0.389215	1.9503	0.388061	1.9506	0.555589	2.69056		0.4218432	2.110042		illinois
C2H8orf47-1	5	12	0.14638	0.61399		0.0934544	6.42734	0.0834109	8.26941	0.0845859	6.0924	0.0699317	6.60392	0.0798799	7.26045		0.08225256	6.930704		illinois
C2ORF21-1	76	46				0.528906	1.48735	0.393081	2.46573	0.49545	2.43409	0.498582	2.43474	0.476185	2.443		0.4784408	2.252982		illinois
C5H11orf24-1	6	0	3.09156	3.42671		0.431039	1.80441	0.45343	3.28115	0.349117	2.79839	0.349118	2.78647	0.405792	3.22058		0.3976992	2.7782		illinois
CAP1-1	46	44	7.32038	6.49398		0.189124	1.86395	0.410516	1.83144	0.278699	1.8137	0.278711	1.48875	0.411146	3.58611		0.3136392	2.11679		illinois
CCDC84-1	2	4	1.43742	3.01998		0.255174	2.95376	0.511046	6.05162	0.374682	6.05511	0.374301	5.7514	0.486874	5.95116		0.4004154	5.35261		illinois
CCNF-1	75	126	0.817445	1.12086		0.161241	4.66908	0.370945	4.78109	0.240159	4.54015	0.239736	4.24793	0.35907	4.19292		0.2742302	4.486234		illinois
CCT7-1	7	2	36.9592	37.3867		0.328389	1.25691	0.349824	6.99999	0.367144	1.83524	0.367212	1.83632	0.320878	6.26482		0.3466894	3.638656		illinois
CDC16-1	2	2	4.11158	3.29991		0.434875	2.94036	0.473404	5.73075	0.464566	4.23624	0.47633	4.46629	0.463758	6.48604		0.4625866	4.771936		illinois
CDHR4-1	0	0	0.0700417	0.0813125		0.376123	2.29691	0.408527	2.25403	0.402136	2.27471	0.353872	2.44668	0.355407	2.27458		0.379213	2.309382		illinois
CENPT-1	5	8	1.23863	1.62981		0.0776847	3.57824	0.529594	4.68504	0.336257	3.71334	0.336202	3.07069	0.482563	3.86666		0.35246014	3.782794		illinois
CHAC2-1	14	18	0.68949	0.782183		0.227947	2.4058	0.231094	2.5071	0.244026	1.75225	0.233319	1.75108	0.199846	2.43166		0.2272464	2.169578		illinois
CLMP-1	4	10	1.72233	1.54696		0.401229	1.94625	0.416108	2.39133	0.349323	2.09751	0.354795	2.00955	0.413021	2.18682		0.3868952	2.126292		illinois
CLSTN3-1	548	516	1.15886	0.968683		0.322071	2.38612	0.338733	2.88604	0.364876	2.74519	0.364924	2.44298	0.330977	2.57621		0.3443162	2.607308		illinois
CRYAB-1	15	2	106.426	137.042		0.0833938	2.42599	0.502615	2.36702	0.36345	2.28889	0.363038	2.49183	0.433422	2.33462		0.34918376	2.38167		illinois
CSDE1-1	91	51	195.579	219.443		0.326309	2.39557	0.255912	2.59541	0.324298	1.90364	0.316688	1.90325	0.274589	2.89333		0.2995592	2.33824		illinois
DCDC2B-1	115	63				0.310196	4.69377	0.345599	7.92999	0.294297	7.08713	0.248593	7.17228	0.294915	7.92591		0.29872	6.961816		illinois
DCTN5-1	0	0	6.88124	6.23567		0.236357	4.15224	0.561781	4.76411	0.350954	4.52341	0.350838	4.30676	0.51198	4.67398		0.402382	4.4841		illinois
DISP2-1	316	398	0.126564	0.194389		0.313341	1.84117	0.307592	2.51226	0.23931	2.25192	0.239137	2.27978	0.294423	2.51053		0.2787606	2.279132		illinois
DLST-1	34	9	41.3052	42.8846		0.442201	2.38296	0.369356	3.86087	0.43222	2.33107	0.387619	2.18991	0.387829	3.4377		0.403845	2.840502		illinois
DTNBP1-1	8	4	4.99721	4.68317		0.159892	2.39491	0.391	2.30585	0.235969	2.40974	0.235951	2.20318	0.384293	1.84046		0.281421	2.230828		illinois
EEFSEC-1	0	0	3.83059	3.46303		0.489699	2.37893	0.482095	2.47848	0.461665	2.22125	0.528831	1.91212	0.509298	2.22042		0.4943176	2.24224		illinois
FANCI-1	404	261	0	0.252784		0.273565	2.45904	0.274699	2.73752	0.273685	2.43486	0.279403	2.14375	0.258467	2.63268		0.2719638	2.48157		illinois
FEM1B-1	2	2	12.0438	12.2209		0.443627	1.26642	0.538074	2.77244	0.461696	1.81751	0.412327	1.81722	0.552109	2.93404		0.4815666	2.121526		illinois
FIGN-1	0	1	0.269817	0.323493		0.488669	2.95224	0.466934	3.04545	0.4273	3.13393	0.380592	3.31121	0.410582	3.07922		0.4348154	3.10441		illinois
GALNT14-1	3	13	0.193737	0.296089		0.404079	2.34817	0.417117	2.81409	0.386096	2.88621	0.354967	2.76167	0.408263	2.63053		0.3941044	2.688134		illinois
GMPPA-1	10	16				0.398346	1.78607	0.459541	2.51314	0.467781	2.31556	0.428754	2.41776	0.441769	2.53616		0.4392382	2.313738		illinois
HCK-1	63	89				0.423817	2.29489	0.508716	2.18575	0.372519	1.89004	0.371673	1.88622	0.493069	2.3939		0.4339588	2.13016		illinois
HHAT-1	7	0	0.409324	0.276286		0.534201	2.16114	0.533544	3.59072	0.433605	2.27771	0.430294	2.27758	0.498991	3.59349		0.486127	2.780128		illinois
HSD17B7-1	2	0	1.85853	1.80338		0.14005	1.84644	0.307017	3.5171	0.208396	3.06521	0.20837	3.28191	0.301232	3.60971		0.233013	3.064074		illinois
INTU-1	17	25	0.294309	0.690019		0.205867	2.62685	0.512705	2.68192	0.306305	2.62182	0.306282	2.56796	0.534462	2.76147		0.3731242	2.652004		illinois
IQCG-1	44	16	0.0691977	0.136767		0.421319	1.93575	0.462907	2.17037	0.452327	1.96018	0.397209	2.04573	0.423832	2.06383		0.4315188	2.035172		illinois
JAG1-1	25	25	2.08551	1.79359		0.501264	2.92544	0.530103	3.01569	0.412468	2.73333	0.434572	1.97573	0.528852	3.91979		0.4814518	2.913996		illinois
KIF14-1	21	10	0.212794	0.187597		0.427507	3.44738	0.502336	4.48317	0.474095	4.42058	0.546805	4.00163	0.474452	3.69149		0.485039	4.00885		illinois
KLHL6-1	19	8	0.515496	0.322642		0.407153	1.51608	0.408923	2.71292	0.287472	2.65185	0.287204	2.47727	0.426073	2.59785		0.363365	2.391194		illinois
LARP6-1	61	39	2.00807	1.40021		0.518603	2.05098	0.54943	4.24944	0.400637	2.98326	0.40026	2.98131	0.547868	4.37509		0.4833596	3.328016		illinois
LASS4-1	31	41	0.498419	0.587618		0.178836	3.70423	0.212176	4.10678	0.208333	4.10043	0.211221	3.89273	0.209928	3.94818		0.2040988	3.95047		illinois
LCMT1-1	0	0	3.83536	3.52013		0.179879	1.47969	0.654241	2.56395	0.408575	2.17661	0.408371	2.02662	0.569288	2.32782		0.4440708	2.114938		illinois
LMOD1-1	37	4	1.42819	0.503418		0.453901	1.89949	0.455404	2.25384	0.412432	2.363	0.409046	2.3529	0.421266	2.15966		0.4304098	2.205778		illinois
LOC100857208-1	7	12	3.88821	2.47955		0.123824	1.64208	0.137313	3.3253	0.128411	2.29572	0.127862	2.29563	0.125479	3.5037		0.1285778	2.612486		illinois
LOC100857445-1	0	0	7.5073			0.116243	1.9787	0.117841	2.23281	0.113404	2.04694	0.100803	1.90249	0.110399	2.17986		0.111738	2.06816		illinois
LOC100857781-1	12	20	68.665	98.3646		0.351928	2.0173	0.381233	2.07848	0.384008	2.00754	0.38195	1.91121	0.384934	2.23224		0.3768106	2.049354		illinois
LOC100858613-1	6	3	9.74531	7.05067		0.326926	0.9785	0.50239	2.50799	0.442745	2.1989	0.44226	2.19732	0.504508	2.51937		0.4437658	2.080416		illinois
LOC100858687-1	0	0	1.61795	1.89196		0.273481	2.48282	0.353515	2.8278	0.26603	2.87025	0.320443	2.56603	0.313618	2.59575		0.3054174	2.66853		illinois
LOC100859397-1	9	6				0.275886	1.10282	0.55813	4.50406	0.41305	1.65138	0.412856	1.65095	0.526592	3.9076		0.4373028	2.563362		illinois
LOC100859557-1	0	0	0.129055	0.222525		0.138412	3.46494	0.110857	3.51278	0.0985822	3.15457	0.0985942	2.8497	0.098611	3.67578		0.10901128	3.331554		illinois
LOC101748046-1	0	0				0.252693	1.01186	0.54429	5.12267	0.373294	1.49513	0.373051	1.49478	0.52313	4.19866		0.4132916	2.66462		illinois
LOC101749668-1	0	0	0	2.78838		0.33053	2.96775	0.324693	3.17638	0.430065	2.8858	0.386875	2.48489	0.313039	3.06222		0.3570404	2.915408		illinois
LOC101750819-1	4	2	0.244708	0.206848		0.297058	2.97555	0.302696	3.16255	0.233435	2.92828	0.229797	2.4123	0.282991	2.62267		0.2691954	2.82027		illinois
LOC101751111-1	10	45	0.0352311	0.0566562		0.414927	2.94989	0.390933	3.10758	0.31529	2.89422	0.315064	3.01762	0.352931	3.00206		0.357829	2.994274		illinois
LOC101751534-1	0	0	0.480378	0.479629		0.341854	1.35775	0.300923	21.2961	0.398998	13.5559	0.39762	48.4512	0.343358	49.1806		0.3565506	26.76831		illinois
LOC101751705-1	1	0	2.11138	1.96483		0.467569	3.00456	0.503088	3.36254	0.465075	3.49344	0.445204	2.96498	0.500188	3.16838		0.4762248	3.19878		illinois
LOC418222-1	211	231	0.171721	0.178618		0.118321	2.41538	0.106825	2.35674	0.176955	1.77	0.176952	1.76884	0.111393	2.29302		0.1380892	2.120796		illinois
LOC768829-1	0	0	0.0784705	0.0594481		0.363124	2.57449	0.390429	2.94105	0.327742	2.96924	0.293246	3.00172	0.390046	2.90852		0.3529174	2.879004		illinois
LOC769366-1	0	0				0.445815	2.21663	0.503132	3.82272	0.428897	3.73366	0.486758	4.02659	0.477051	3.75039		0.4683306	3.509998		illinois
LOC776273-1	8	0	1.979	1.72977		0.306707	1.75419	0.36295	2.4082	0.359715	2.46182	0.35807	2.63621	0.31728	3.07285		0.3409444	2.466654		illinois
MYO16-1	8	6	0.603415	0.248438		0.370198	3.4831	0.344383	3.68013	0.350507	4.08935	0.395949	3.28126	0.345741	3.5384		0.3613556	3.614448		illinois
MYO3AL-1	29	15	0.138736	0.0705535		0.246019	1.95763	0.258378	2.26073	0.229066	2.23763	0.265649	2.37135	0.234795	2.27669		0.2467814	2.220806		illinois
NEK9-1	64	22	26.5024	29.7933		0.23585	2.44135	0.199241	2.6873	0.260395	2.09456	0.264205	2.09459	0.216678	2.65142		0.2352738	2.393844		illinois
OXSM-1	0	0	4.03622	6.24918		0.254255	2.36186	0.402413	2.32665	0.330948	2.17214	0.33023	2.19973	0.314459	2.28501		0.326461	2.269078		illinois
PCDHGC5-1	0	0		0.161396		0.274796	2.39552	0.487625	2.30811	0.388584	2.30923	0.38831	1.94887	0.479651	2.37496		0.4037932	2.267338		illinois
PLEKHG3-1	28	31	0	0		0.244049	2.13772	0.45956	3.19809	0.423584	3.24211	0.423659	3.17805	0.468055	3.1961		0.4037814	2.990414		illinois
PNO1-1	15	11	37.7093	39.3636		0.191259	3.75453	0.390873	3.97652	0.28175	4.11505	0.281754	3.8063	0.36882	3.78719		0.3028912	3.887918		illinois
POR-1	40	45	5.561	5.54536		0.405186	3.03824	0.429631	4.12503	0.330598	3.95601	0.330366	3.94896	0.418998	4.19416		0.3829558	3.85248		illinois
PSMB2-1	6	0	86.5956	77.3755		0.384332	2.48576	0.391585	2.91771	0.391595	2.39767	0.409637	2.10372	0.341893	2.71103		0.3838084	2.523178		illinois
PTGDS-1	2	0	43.7423	30.2708		0.145153	3.39955	0.143877	2.85512	0.140826	2.03065	0.130617	2.03213	0.135115	3.05036		0.1391176	2.673562		illinois
PYROXD1-1	261	168	7.54165	5.75387		0.404733	1.85981	0.436334	2.28614	0.339108	2.22172	0.377964	2.20772	0.383479	2.09272		0.3883236	2.133622		illinois
RPL23-1	104	37	993.779	1022.04		0.48828	3.72511	0.468202	3.71829	0.436613	3.60549	0.400629	3.57987	0.46248	3.70333		0.4512408	3.666418		illinois
SDCCAG8-1	708	545	0.51787	0.761878		0.525176	2.01343	0.500825	2.37001	0.522292	2.24643	0.467984	2.0612	0.472627	2.30365		0.4977808	2.198944		illinois
SDPR-1	35	28	28.0408	16.9782		0.0769604	1.38206	0.171271	7.42896	0.112671	2.02508	0.112612	2.02439	0.158493	4.89986		0.12640148	3.55207		illinois
SEPN1-1	5	2	7.20315	5.62592		0.312301	0.748035	0.337651	10.1651	0.333683	2.59787	0.303237	2.59913	0.299644	5.94939		0.3173032	4.411905		illinois
SF3A2-1	6	4	21.6831	15.8915		0.339407	0.74989	0.468021	6.93266	0.361581	1.81728	0.363631	1.81669	0.44265	4.21682		0.395058	3.106668		illinois
SLC25A26-1	3	0	0	0		0.303326	2.36668	0.292441	2.47114	0.330126	2.23	0.330095	2.243	0.269691	2.37095		0.3051358	2.336354		illinois
SLC38A2-1	6	4	14.3348	11.1896		0.441705	1.93098	0.46762	2.2236	0.47174	2.13719	0.415135	2.09646	0.418587	2.10523		0.4429574	2.098692		illinois
SMPD4-1	95	125	2.43395	2.04971		0.515432	2.20071	0.520768	2.52506	0.408004	2.52737	0.398885	2.35009	0.500963	2.47318		0.4688104	2.415282		illinois
SNRPD1-1	18	8	18.1141	30.573		0.190037	1.42482	0.424358	3.23845	0.276493	2.08371	0.276031	2.08287	0.423477	3.32345		0.3180792	2.43066		illinois
STOM-1	36	17	19.3564	20.338		0.364036	2.46394	0.34463	2.97168	0.321025	2.66187	0.296492	2.70603	0.316496	2.63562		0.3285358	2.687828		illinois
SUCLG1-1	44	33	44.7894	62.6113		0.484341	1.14602	0.459871	5.21034	0.517265	1.66649	0.519002	1.66654	0.485467	3.65797		0.4931892	2.669472		illinois
THOC2-1	30	28	9.24817	8.82315		0.454525	2.18308	0.431014	2.29078	0.431198	2.10518	0.392784	2.31574	0.421981	2.28751		0.4263004	2.236458		illinois
TPX2-1	2	0	4.03175	3.51359		0.224069	2.34938	0.555355	2.83057	0.332783	2.23193	0.332675	1.94101	0.503328	3.00883		0.389642	2.472344		illinois
TRABD2A-1	1	1	0.174054	0.297184		0.379389	1.89745	0.38336	3.41745	0.34338	3.34278	0.341299	2.73252	0.354837	2.97768		0.360453	2.873576		illinois
TRBV6-5-1	7	3	5.65361	3.68879		0.368067	2.8861	0.459753	3.35826	0.478115	3.43402	0.45809	3.43322	0.431848	3.35591		0.4391746	3.293502		illinois
TSPAN18-1	0	0	2.57158	2.26814		0.377015	2.92362	0.485346	3.19346	0.514212	2.83313	0.523396	2.69255	0.457909	3.0775		0.4715756	2.944052		illinois
WFS1-1	15	30	2.64832	3.0056		0.369597	1.29406	0.360737	2.35612	0.407956	2.25433	0.382985	2.47527	0.354541	2.23111		0.3751632	2.122178		illinois
NAB1-1	0	0	4.23663	3.13307		0.239095	1.9714	0.569097	2.82796	0.356677	2.68363	0.356584	2.47477	0.710939	2.71212		0.4464784	2.533976		illinois
ADA-1	46	25	2.03058	2.19068		5.91105	0.32718	6.66852	0.348248	6.38907	0.373306	5.17252	0.373222	5.21871	0.32603		5.871974	0.3495972		ross
ALDH18A1-1	3	4	1.897	1.51657		1.23335	0.309268	3.01466	0.299591	2.02132	0.333737	2.02122	0.333668	3.49158	0.270204		2.356426	0.3092936		ross
APBB1-1	6	1	0.698799	0.318573		3.05128	0.161198	3.08151	0.246872	2.75438	0.218265	2.75222	0.21778	3.06303	0.253433		2.940484	0.2195096		ross
ARRDC4-1	24	22	7.01006	5.99307		1.86368	0.413324	1.98157	0.418719	2.10689	0.357061	1.63928	0.430049	3.4961	0.404644		2.217504	0.4047594		ross
ASXL1-1	3	2	0.869372	0.764534		2.12776	0.425482	5.23763	0.616006	4.91533	0.398009	4.9213	0.397538	5.32845	0.65197		4.506094	0.497801		ross
ATP5F1-1	52	16	200.795	255.974		1.88526	0.139858	2.61849	0.603825	2.33489	0.355975	2.23437	0.355189	2.54315	0.615486		2.323232	0.4140666		ross
BMP5-1	0	1	0.57785	0.656407		1.25507	0.182171	3.04023	0.15899	1.87691	0.156529	1.87686	0.156521	3.09243	0.131768		2.2283	0.1571958		ross
C1H2ORF49-1	209	434	4.54303	4.80283		2.16305	0.213285	2.08853	0.495081	2.0004	0.30324	1.89995	0.303098	2.06414	0.480398		2.043214	0.3590204		ross
C2H3ORF75-1	0	0	1.93765	1.8012		1.16524	0.340177	4.07511	0.509378	3.61719	0.374695	3.34654	0.37364	4.26595	0.545929		3.294006	0.4287638		ross
CACNB2-1	146	117	0.118112	0.126971		1.83877	0.183657	2.04282	0.148518	2.40702	0.186953	2.65655	0.156641	1.93987	0.133078		2.177006	0.1617694		ross
CBY1-1	0	0	6.68668	8.24461		2.01343	0.282972	2.377	0.504027	2.434	0.38578	2.60401	0.385318	2.31374	0.480222		2.348436	0.4076638		ross
CCDC39-1	143	203	0.0238075	0		2.15641	0.302972	2.33714	0.279616	3.38356	0.242343	3.53377	0.239312	2.31768	0.26532		2.745712	0.2659126		ross
CCNE2-1	48	37	0	0		1.97645	0.309084	2.3806	0.3176	2.38814	0.312986	2.22532	0.261678	2.1756	0.235499		2.229222	0.2873694		ross
CCT2-1	8	0	33.165	34.257		6.36157	0.448968	7.47285	0.431356	7.5869	0.44999	8.48501	0.382306	7.50679	0.422258		7.482624	0.4269756		ross
CCZ1-1	122	113	6.61929	7.186		1.86899	0.550042	2.15476	0.525719	1.94565	0.448776	2.12962	0.41917	1.91793	0.501607		2.00339	0.4890628		ross
CDHR1-1	2	2	0.0229659	0.00264006		0.675795	0.113837	30.5208	0.201789	0.608766	0.144208	0.608319	0.141634	7.29007	0.191851		7.94075	0.1586638		ross
CDYL-1	35	16	1.43687	1.49924		1.5761	0.435232	2.54452	0.509657	2.40416	0.493382	2.36799	0.464996	2.53908	0.479401		2.28637	0.4765336		ross
CHIC2-1	0	0	1.74094	1.45338		2.45214	0.420687	2.88282	0.442735	3.22213	0.512474	2.89919	0.433706	2.26317	0.39325		2.74389	0.4405704		ross
CHST10-1	0	0				3.44645	0.339623	5.29597	0.307287	3.31587	0.379905	3.72111	0.32472	4.72843	0.292526		4.101566	0.3288122		ross
CLSPN-1	4	0	0.358622	0.347336		3.52167	0.297643	3.56	0.26991	3.64795	0.314524	3.01414	0.314576	3.45619	0.249361		3.43999	0.2892028		ross
COL24A1-1	0	1	0.0913297	0.205067		1.813	0.26231	2.42284	0.345609	2.16232	0.314379	1.74784	0.31148	2.18331	0.304538		2.065862	0.3076632		ross
COPE-1	10	4	14.7209	13.7992		1.86935	0.229426	3.5261	0.421706	3.31195	0.345548	2.42813	0.345134	3.38113	0.425168		2.903332	0.3533964		ross
CSGALNACT2-1	0	1	3.4919	2.6507		2.48956	0.226238	3.10394	0.661987	3.04189	0.396916	3.07124	0.396812	2.85058	0.63048		2.911442	0.4624866		ross
DBNDD2-1	14	3	47.3691	37.8446		1.57264	0.445075	2.86324	0.474499	2.56815	0.403783	2.41707	0.401534	2.28383	0.431382		2.340986	0.4312546		ross
DDX59-1	6	2	3.28602	3.24196		1.82925	0.564311	2.23042	0.480993	1.94875	0.466437	1.98167	0.4556	2.14849	0.493614		2.027716	0.492191		ross
DENND4C-1	148	100	1.65238	1.3447		2.27411	0.600841	3.09595	0.382471	2.73289	0.53666	2.69099	0.446387	3.05403	0.398591		2.769594	0.47299		ross
DGCR2-1	4	4	14.811	16.169		0.8466	0.479603	3.14678	0.389502	2.05034	0.344912	2.05095	0.342411	2.22803	0.344798		2.06454	0.3802452		ross
DNAJA3-1	122	42	45.779	47.3781		4.69567	0.248573	5.0966	0.575135	4.60336	0.37312	4.59132	0.372747	4.55544	0.532589		4.708478	0.4204328		ross
DRAM2-1	2425	1802	9.54966	11.9265		2.63656	0.341745	3.63813	0.330684	4.90173	0.330804	5.13567	0.280843	3.30939	0.344853		3.924296	0.3257858		ross
EDN2-1	0	0	0.42956	0.234088		0.698176	0.369689	1.6198	0.378757	1.01505	0.29226	1.01546	0.341061	7.42788	0.343546		2.3552732	0.3450626		ross
FAM149A-1	3	0	0.305991	0.0423442		3.17803	0.28896	3.65371	0.280409	3.61281	0.308429	3.25385	0.307591	3.44519	0.256832		3.428718	0.2884442		ross
FBLN5-1	3	0	1.62758	1.23172		1.99343	0.523466	3.34577	0.388118	2.70703	0.479881	2.57879	0.53159	3.28895	0.444323		2.782794	0.4734756		ross
FBXO16-1	7	5	0.0231471	0.0125882		1.41302	0.308749	2.81549	0.307197	2.13372	0.334529	2.24168	0.334268	2.60522	0.303808		2.241826	0.3177102		ross
